crime,year,month,day
Possession Of Paraphernalia,2018,03,20
Possession Of Paraphernalia,2018,03,21
Possession Of Paraphernalia,2018,03,24
Possession Of Paraphernalia,2018,04,04
Possess Narcotic Controlled Substnc,2018,04,04
Possession Of Paraphernalia,2018,04,16
Possession Of Paraphernalia,2017,06,20
Possess Control Substance W/O Presc,2017,06,23
Under Influence Controlled Substanc,2017,06,30
Possess Controlled Substance,2017,07,07
Possess Controlled Substance,2017,07,10
Possess Control Substance For Sale,2017,04,17
Possess Controlled Substance,2017,04,20
Possession Of Paraphernalia,2017,04,24
Possess Controlled Substance,2017,04,23
Possess Controlled Substance,2017,04,27
Possess Controlled Substance,2017,05,24
Possess Controlled Substance,2017,06,06
Possess Control Substance For Sale,2017,06,07
Possess Firearm While Possess Narc,2017,03,22
Under Influence Controlled Substanc,2017,03,22
Possess Controlled Substance,2017,03,25
Possess Controlled Substance,2017,04,03
Possess Firearm While Possess Narc,2017,04,05
Possession Of Paraphernalia,2017,04,05
Possess Controlled Substance,2017,04,14
Under Influence Controlled Substanc,2017,04,15
Poss Less Than 1 Oz. Of Marijuana,2017,01,19
Possession For Sale - Marijuana,2017,01,27
Possess Control Substance For Sale,2017,01,28
Possess Narcotic Controlled Substnc,2017,02,04
Possession Of Paraphernalia,2017,02,04
Possess Control Substance For Sale,2017,02,16
Possession Of Paraphernalia,2017,02,22
Possession Of Paraphernalia,2017,03,04
Possess Controlled Substance,2017,03,08
Possess Controlled Substance,2017,03,10
Possess Controlled Substance,2017,03,11
Possession Of Paraphernalia,2016,12,18
Possess Narcotic Controlled Substnc,2017,01,14
Possess Narcotic Controlled Substnc,2017,01,16
Under Influence Controlled Substanc,2016,11,17
Possess Controlled Substance,2016,11,25
Possess Controlled Substance,2016,12,10
Possess Controlled Substance,2016,12,12
Possession Of Paraphernalia,2016,12,13
Possess Narcotic Controlled Substnc,2016,10,22
Possess Controlled Substance,2016,11,01
Possess Controlled Substance,2016,11,06
Poss Less Than 1 Oz. Of Marijuana,2016,08,17
Under Influence Controlled Substanc,2016,08,21
Possess Narcotic Controlled Substnc,2016,08,31
Possess Controlled Substance,2016,09,02
Possess Controlled Substance,2016,09,08
Possess Controlled Substance,2016,09,09
Possession Of Paraphernalia,2018,02,22
Under Influence Controlled Substanc,2018,02,23
Possession Of Paraphernalia,2018,03,12
Possess Controlled Substance,2018,03,15
Possess Narcotic Controlled Substnc,2016,08,01
Possession Of Paraphernalia,2016,08,05
Possess Narcotic Controlled Substnc,2016,08,07
Possession For Sale - Narcotics,2016,09,21
Poss Less Than 1 Oz. Of Marijuana,2016,09,22
Possess Control Substance For Sale,2016,10,07
Possession Of Paraphernalia,2016,10,11
Possession For Sale - Narcotics,2018,01,20
Possess Controlled Substance,2018,02,02
Possess Controlled Substance,2018,02,06
Possession Of Paraphernalia,2018,02,06
Possess Controlled Substance,2017,12,23
Possess Controlled Substance,2017,12,24
Possess Control Substance For Sale,2017,12,27
Possession Of Paraphernalia,2018,01,04
Possession Of Paraphernalia,2017,11,22
Possess Controlled Substance,2017,12,01
Possession Of Paraphernalia,2017,12,01
Possess Controlled Substance,2017,12,03
Possess Controlled Substance,2017,10,19
Possess Narcotic Controlled Substnc,2017,10,24
Possession Of Paraphernalia,2017,10,27
Possess Narcotic Controlled Substnc,2017,10,27
Possess Controlled Substance,2017,11,01
Possession Of Paraphernalia,2017,11,07
Possess Controlled Substance,2017,11,10
Possess Narcotic Controlled Substnc,2017,11,14
Possess Controlled Substance,2017,11,15
Possess Narcotic Controlled Substnc,2017,09,22
Possession Of Paraphernalia,2017,10,07
Possess Controlled Substance,2017,10,10
Possess Controlled Substance,2017,10,11
Possess Controlled Substance,2017,07,22
Possess Controlled Substance,2017,07,23
Possess Controlled Substance,2017,07,28
Possess Controlled Substance,2017,07,29
Possess Narcotic Controlled Substnc,2017,07,30
Possess Controlled Substance,2017,08,01
Possess Narcotic Controlled Substnc,2017,08,03
Robbery,2017,07,09
Shoot At Inhabited Dwelling/Vehicle,2017,04,28
Robbery/Car Jacking,2017,04,30
Attempted Murder,2017,05,04
Threatening A Violent Assault,2017,05,23
Possess Firearm While Possess Narc,2017,03,22
Exhibiting Firearm,2017,03,31
Possess Firearm While Possess Narc,2017,04,05
Robbery,2017,04,06
Murder: First Degree,2017,02,23
Attempted Murder,2017,02,15
Robbery,2016,12,07
Attempted Murder,2016,10,04
Attempted Murder,2018,02,23
Exhibiting Dead.Wp.Not Firearm,2018,02,24
Murder: First Degree,2016,08,22
Exhibiting Dead.Wp.Not Firearm,2016,09,01
Attempted Murder,2016,09,14
